Subject,Start Date,All Day Event,Description
Uposatha,01/04/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,01/10/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,01/18/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,01/25/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,02/02/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,02/09/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,02/17/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,02/24/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,03/03/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,03/10/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,03/18/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,03/24/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,04/01/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,04/08/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,04/16/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,04/23/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,05/01/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,05/08/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,05/16/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,05/22/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,05/30/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,06/06/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
Uposatha,06/14/2024,True,Buddhist day of observance. Dates gathered from Metta Forest Monastery: https://www.watmetta.org/
